date,time,location
9/17/2025,5:45PM,St. John Vianney
9/17/2025,6:30PM,St. John Vianney
9/17/2025,7:15PM,St. John Vianney
9/17/2025,8:00PM,St. John Vianney
9/18/2025,5:45PM,St. John Vianney
9/18/2025,6:30PM,St. John Vianney
9/18/2025,7:15PM,St. John Vianney
9/18/2025,8:00PM,St. John Vianney
9/18/2025,6:00PM,St. Walter
9/18/2025,6:45PM,St. Walter
9/18/2025,7:30PM,St. Walter
9/18/2025,8:15PM,St. Walter
9/19/2025,6:00PM,Eastview Middle School
9/19/2025,6:45PM,Eastview Middle School
9/19/2025,7:30PM,Eastview Middle School
9/19/2025,6:00PM,St. Philip the Apostle
9/19/2025,6:45PM,St. Philip the Apostle
9/19/2025,7:30PM,St. Philip the Apostle
9/19/2025,6:00PM,St. Walter
9/19/2025,6:45PM,St. Walter
9/19/2025,7:30PM,St. Walter
9/19/2025,8:15PM,St. Walter
9/20/2025,9:00AM,St. Philip the Apostle
9/20/2025,9:45AM,St. Philip the Apostle
9/20/2025,10:30AM,St. Philip the Apostle
9/22/2025,5:45PM,St. John Vianney
9/22/2025,6:30PM,St. John Vianney
9/22/2025,7:15PM,St. John Vianney
9/22/2025,8:00PM,St. John Vianney
9/23/2025,5:45PM,St. John Vianney
9/23/2025,6:30PM,St. John Vianney
9/23/2025,7:15PM,St. John Vianney
9/23/2025,8:00PM,St. John Vianney
9/23/2025,6:00PM,St. Walter
9/23/2025,6:45PM,St. Walter
9/23/2025,7:30PM,St. Walter
9/23/2025,8:15PM,St. Walter
9/24/2025,5:45PM,St. John Vianney
9/24/2025,6:30PM,St. John Vianney
9/24/2025,7:15PM,St. John Vianney
9/24/2025,8:00PM,St. John Vianney
9/25/2025,5:45PM,St. John Vianney
9/25/2025,6:30PM,St. John Vianney
9/25/2025,7:15PM,St. John Vianney
9/25/2025,8:00PM,St. John Vianney
9/26/2025,6:00PM,Eastview Middle School
9/26/2025,6:45PM,Eastview Middle School
9/26/2025,7:30PM,Eastview Middle School
9/26/2025,6:00PM,St. Philip the Apostle
9/26/2025,6:45PM,St. Philip the Apostle
9/26/2025,7:30PM,St. Philip the Apostle
9/26/2025,5:45PM,St. John Vianney
9/26/2025,6:30PM,St. John Vianney
9/26/2025,7:15PM,St. John Vianney
9/26/2025,8:00PM,St. John Vianney
9/26/2025,6:00PM,St. Walter
9/26/2025,6:45PM,St. Walter
9/26/2025,7:30PM,St. Walter
9/26/2025,8:15PM,St. Walter
9/27/2025,9:00AM,St. Philip the Apostle
9/27/2025,9:45AM,St. Philip the Apostle
9/27/2025,10:30AM,St. Philip the Apostle
9/27/2025,9:00AM,St. John Vianney
9/27/2025,9:45AM,St. John Vianney
9/27/2025,10:30AM,St. John Vianney
9/27/2025,11:15AM,St. John Vianney
9/27/2025,12:00PM,St. John Vianney
9/27/2025,12:45PM,St. John Vianney
9/30/2025,5:45PM,St. John Vianney
9/30/2025,6:30PM,St. John Vianney
9/30/2025,7:15PM,St. John Vianney
9/30/2025,8:00PM,St. John Vianney
10/2/2025,5:45PM,St. John Vianney
10/2/2025,6:30PM,St. John Vianney
10/2/2025,7:15PM,St. John Vianney
10/2/2025,8:00PM,St. John Vianney
10/3/2025,6:00PM,Eastview Middle School
10/3/2025,6:45PM,Eastview Middle School
10/3/2025,7:30PM,Eastview Middle School
10/3/2025,5:45PM,St. John Vianney
10/3/2025,6:30PM,St. John Vianney
10/3/2025,7:15PM,St. John Vianney
10/3/2025,8:00PM,St. John Vianney
10/3/2025,6:00PM,St. Walter
10/3/2025,6:45PM,St. Walter
10/3/2025,7:30PM,St. Walter
10/3/2025,8:15PM,St. Walter
10/4/2025,9:00AM,St. Walter
10/4/2025,9:45AM,St. Walter
10/4/2025,10:30AM,St. Walter
10/4/2025,11:15AM,St. Walter
10/4/2025,12:00PM,St. Walter
10/6/2025,5:45PM,St. John Vianney
10/6/2025,6:30PM,St. John Vianney
10/6/2025,7:15PM,St. John Vianney
10/6/2025,8:00PM,St. John Vianney
10/7/2025,6:00PM,St. Walter
10/7/2025,6:45PM,St. Walter
10/7/2025,7:30PM,St. Walter
10/7/2025,8:15PM,St. Walter
10/8/2025,5:45PM,St. John Vianney
10/8/2025,6:30PM,St. John Vianney
10/8/2025,7:15PM,St. John Vianney
10/8/2025,8:00PM,St. John Vianney
10/9/2025,5:45PM,St. John Vianney
10/9/2025,6:30PM,St. John Vianney
10/9/2025,7:15PM,St. John Vianney
10/9/2025,8:00PM,St. John Vianney
10/14/2025,5:45PM,St. John Vianney
10/14/2025,6:30PM,St. John Vianney
10/14/2025,7:15PM,St. John Vianney
10/14/2025,8:00PM,St. John Vianney
10/15/2025,5:45PM,St. John Vianney
10/15/2025,6:30PM,St. John Vianney
10/15/2025,7:15PM,St. John Vianney
10/15/2025,8:00PM,St. John Vianney
10/16/2025,5:45PM,St. John Vianney
10/16/2025,6:30PM,St. John Vianney
10/16/2025,7:15PM,St. John Vianney
10/16/2025,8:00PM,St. John Vianney
10/16/2025,6:00PM,St. Walter
10/16/2025,6:45PM,St. Walter
10/16/2025,7:30PM,St. Walter
10/16/2025,8:15PM,St. Walter
10/17/2025,6:00PM,Eastview Middle School
10/17/2025,6:45PM,Eastview Middle School
10/17/2025,7:30PM,Eastview Middle School
10/17/2025,6:00PM,St. Philip the Apostle
10/17/2025,6:45PM,St. Philip the Apostle
10/17/2025,7:30PM,St. Philip the Apostle
10/17/2025,5:45PM,St. John Vianney
10/17/2025,6:30PM,St. John Vianney
10/17/2025,7:15PM,St. John Vianney
10/17/2025,8:00PM,St. John Vianney
10/18/2025,9:00AM,St. John Vianney
10/18/2025,9:45AM,St. John Vianney
10/18/2025,10:30AM,St. John Vianney
10/18/2025,11:15AM,St. John Vianney
10/18/2025,12:00PM,St. John Vianney
10/18/2025,12:45PM,St. John Vianney
10/20/2025,5:45PM,St. John Vianney
10/20/2025,6:30PM,St. John Vianney
10/20/2025,7:15PM,St. John Vianney
10/20/2025,8:00PM,St. John Vianney
10/22/2025,5:45PM,St. John Vianney
10/22/2025,6:30PM,St. John Vianney
10/22/2025,7:15PM,St. John Vianney
10/22/2025,8:00PM,St. John Vianney
10/23/2025,5:45PM,St. John Vianney
10/23/2025,6:30PM,St. John Vianney
10/23/2025,7:15PM,St. John Vianney
10/23/2025,8:00PM,St. John Vianney
10/23/2025,6:00PM,St. Walter
10/23/2025,6:45PM,St. Walter
10/23/2025,7:30PM,St. Walter
10/23/2025,8:15PM,St. Walter
10/24/2025,6:00PM,Eastview Middle School
10/24/2025,6:45PM,Eastview Middle School
10/24/2025,7:30PM,Eastview Middle School
10/24/2025,6:00PM,St. Philip the Apostle
10/24/2025,6:45PM,St. Philip the Apostle
10/24/2025,7:30PM,St. Philip the Apostle
10/24/2025,5:45PM,St. John Vianney
10/24/2025,6:30PM,St. John Vianney
10/24/2025,7:15PM,St. John Vianney
10/24/2025,8:00PM,St. John Vianney
10/25/2025,9:00AM,St. John Vianney
10/25/2025,9:45AM,St. John Vianney
10/25/2025,10:30AM,St. John Vianney
10/25/2025,11:15AM,St. John Vianney
10/25/2025,12:00PM,St. John Vianney
10/25/2025,12:45PM,St. John Vianney
10/25/2025,9:00AM,St. Walter
10/25/2025,9:45AM,St. Walter
10/25/2025,10:30AM,St. Walter
10/25/2025,11:15AM,St. Walter
10/25/2025,12:00PM,St. Walter
10/27/2025,5:45PM,St. John Vianney
10/27/2025,6:30PM,St. John Vianney
10/27/2025,7:15PM,St. John Vianney
10/27/2025,8:00PM,St. John Vianney
10/28/2025,5:45PM,St. John Vianney
10/28/2025,6:30PM,St. John Vianney
10/28/2025,7:15PM,St. John Vianney
10/28/2025,8:00PM,St. John Vianney
10/29/2025,5:45PM,St. John Vianney
10/29/2025,6:30PM,St. John Vianney
10/29/2025,7:15PM,St. John Vianney
10/29/2025,8:00PM,St. John Vianney
10/30/2025,5:45PM,St. John Vianney
10/30/2025,6:30PM,St. John Vianney
10/30/2025,7:15PM,St. John Vianney
10/30/2025,8:00PM,St. John Vianney
10/30/2025,6:00PM,St. Walter
10/30/2025,6:45PM,St. Walter
10/30/2025,7:30PM,St. Walter
10/30/2025,8:15PM,St. Walter
11/1/2025,9:00AM,St. Philip the Apostle
11/1/2025,9:45AM,St. Philip the Apostle
11/1/2025,10:30AM,St. Philip the Apostle
11/1/2025,9:00AM,St. Walter
11/1/2025,9:45AM,St. Walter
11/1/2025,10:30AM,St. Walter
11/3/2025,5:45PM,St. John Vianney
11/3/2025,6:30PM,St. John Vianney
11/3/2025,7:15PM,St. John Vianney
11/3/2025,8:00PM,St. John Vianney
11/3/2025,6:45PM,St. Walter
11/3/2025,7:30PM,St. Walter
11/3/2025,8:15PM,St. Walter
11/4/2025,6:45PM,St. Walter
11/4/2025,7:30PM,St. Walter
11/4/2025,8:15PM,St. Walter
11/5/2025,5:45PM,St. John Vianney
11/5/2025,6:30PM,St. John Vianney
11/5/2025,7:15PM,St. John Vianney
11/5/2025,8:00PM,St. John Vianney
11/5/2025,6:45PM,St. Walter
11/5/2025,7:30PM,St. Walter
11/5/2025,8:15PM,St. Walter
11/6/2025,5:45PM,St. John Vianney
11/6/2025,6:30PM,St. John Vianney
11/6/2025,7:15PM,St. John Vianney
11/6/2025,8:00PM,St. John Vianney
11/6/2025,6:45PM,St. Walter
11/6/2025,7:30PM,St. Walter
11/6/2025,8:15PM,St. Walter
